dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,ridge,mi,0.25,3.1690550562121604,22190.195048012876,0.2213362729917242,3.154624981326374,148.9135702198251,1.8794073028600042,0.001847811479997248,9.391953997691418e-05,1.8813663101800011
Bike Sharing,ridge,mi,0.5,3.394789883054892,19986.877877710398,0.22908838069935256,3.360628175414371,141.33395398778782,1.8794073028600042,0.00196904915999307,0.00014899391997004555,1.8815332671599527
Bike Sharing,ridge,mi,0.75,3.4019400152895742,19963.096251262275,0.2288661341714912,3.3876236781096196,141.25028311249568,1.8794073028600042,0.00235813427997978,0.0002522892200113263,1.8820257086000356
Bike Sharing,ridge,mi,1.0,3.4044735297137936,19913.174513201397,0.22701617199191,3.3887991992240236,141.0731082301321,0.0,0.0031467296400523458,0.00010613273998839401,0.003259463160029506
Bike Sharing,ridge,rfe,0.05,5.463991921470163,27693.579995540076,0.7195695819679288,5.718598862548353,166.4028607876624,0.027527036501851378,0.000578372749259825,0.00011150300088045,0.028224269503880274
Bike Sharing,ridge,rfe,0.15,3.379252426916312,23682.554869579355,0.1815153585189939,3.3772130712406794,153.8824933555615,0.027527036501851378,0.000538392500857225,8.525325029039981e-05,0.02815541400104845
Bike Sharing,ridge,rfe,0.25,3.5200599386038705,21823.305373020452,0.25863013719364447,3.4919395306861096,147.68518288990916,0.07302466565991377,0.001440870279970974,8.704026007762383e-05,0.07456622627987594
Bike Sharing,ridge,rfe,0.5,3.4073501515960385,19953.686108701633,0.22844795472250579,3.3877181115415054,141.21589880201512,0.07302466565991377,0.004834372259988356,9.350626000921782e-05,0.07796003671996454
Bike Sharing,ridge,rfe,0.75,3.4006984659296453,19920.552040658004,0.22634648032773197,3.3886114913498138,141.09897062487715,0.07302466565991377,0.0028420413399725818,9.09968400355792e-05,0.07596649343990516
Bike Sharing,ridge,rfe,1.0,3.4044735297137936,19913.174513201397,0.22701617199191,3.3887991992240236,141.0731082301321,0.0,0.0031467296400523458,0.00010613273998839401,0.003259463160029506
Bike Sharing,ridge,shap,0.05,5.480262525159224,27736.433186739847,0.7316703071903214,5.731300291729571,166.53228735582846,0.008350876749318526,0.000671446499836675,0.00012031224923697501,0.009150417748969599
Bike Sharing,ridge,shap,0.15,4.2830554071029905,24441.06691732219,1.0864656456231174,4.212193093534902,156.31121567581388,0.008350876749318526,0.000608900750194125,8.546375102014281e-05,0.009050794499671574
Bike Sharing,ridge,shap,0.25,3.559260296978071,22094.834452860672,0.3580336499045564,3.4608853013611927,148.58722087484807,0.010669321239993177,0.001591083840044074,9.02997399998544e-05,0.012362135880007319
Bike Sharing,ridge,shap,0.5,3.387915394454117,19997.927178306087,0.2315316196683061,3.359462616796114,141.37267175042498,0.010669321239993177,0.001719362879944082,8.915819998491504e-05,0.012485763619956689
Bike Sharing,ridge,shap,0.75,3.399431674818526,19956.16756940044,0.2281367640841128,3.3914473297387184,141.2258714263774,0.010669321239993177,0.002273347979994418,9.746624004490804e-05,0.013129456579995303
Bike Sharing,ridge,shap,1.0,3.4044735297137936,19913.174513201397,0.22701617199191,3.3887991992240236,141.0731082301321,0.0,0.0031467296400523458,0.00010613273998839401,0.003259463160029506
Bike Sharing,ridge,tree,0.05,4.6165258711459565,27797.74278312269,0.18691592925549363,4.615537617679667,166.714483672391,1.4756203367505805,0.0008120017491819,0.00037378400156735003,1.4768179072507337
Bike Sharing,ridge,tree,0.15,3.6961193763222817,24762.253234611646,0.5000318259349621,3.503823409515789,157.20255496844146,1.4756203367505805,0.000842369500787725,7.556524906249251e-05,1.4765430754996487
Bike Sharing,ridge,tree,0.25,3.502174031544468,23991.828914628295,0.4283788780785915,3.3935049259951597,154.84795735640995,2.55662885542004,0.001525586780094218,0.00015833483999357336,2.558329286560047
Bike Sharing,ridge,tree,0.5,3.390031321983257,20348.539560540165,0.23176422575330288,3.3682261284073554,142.6071151930544,2.55662885542004,0.0031340317600506264,0.0006177023400141351,2.5603896659200016
Bike Sharing,ridge,tree,0.75,3.4049558480409248,19946.787433207173,0.22981187005652418,3.3802712004090028,141.19149706005277,2.55662885542004,0.001481772419979228,0.0003668187401035421,2.5584863776801057
Bike Sharing,ridge,tree,1.0,3.4044735297137936,19913.174513201397,0.22701617199191,3.3887991992240236,141.0731082301321,0.0,0.0031467296400523458,0.00010613273998839401,0.003259463160029506
