dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
Bike Sharing,ridge,rfe,0.5,7,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,7,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,7,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,7,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,7,42,0.9,12,11,6,hour|workingday|temp|year|humidity|weather
Bike Sharing,ridge,tree,0.75,7,42,0.9,12,11,9,hour|workingday|temp|year|humidity|weather|month|season|weekday
Bike Sharing,ridge,tree,1.0,7,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,7,42,0.9,12,11,3,year|hour|temp
Bike Sharing,ridge,shap,0.5,7,42,0.9,12,11,6,year|hour|temp|humidity|season|weather
Bike Sharing,ridge,shap,0.75,7,42,0.9,12,11,9,year|hour|temp|humidity|season|weather|windspeed|holiday|month
Bike Sharing,ridge,shap,1.0,7,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,8,42,0.9,12,11,3,hour|temp|humidity
Bike Sharing,ridge,mi,0.5,8,42,0.9,12,11,6,hour|temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,8,42,0.9,12,11,9,hour|temp|humidity|month|season|year|workingday|weather|windspeed
Bike Sharing,ridge,mi,1.0,8,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,8,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,8,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,8,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,8,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,8,42,0.9,12,11,3,hour|workingday|feel_temp
Bike Sharing,ridge,tree,0.5,8,42,0.9,12,11,6,hour|workingday|feel_temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,8,42,0.9,12,11,9,hour|workingday|feel_temp|year|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,8,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,8,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,shap,0.5,8,42,0.9,12,11,6,temp|hour|year|humidity|season|workingday
Bike Sharing,ridge,shap,0.75,8,42,0.9,12,11,9,temp|hour|year|humidity|season|workingday|weather|windspeed|holiday
Bike Sharing,ridge,shap,1.0,8,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,9,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,9,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,9,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|windspeed|weekday|workingday
Bike Sharing,ridge,mi,1.0,9,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,9,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,9,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,9,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,9,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
