dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Bike Sharing,ridge,mi,0.5,8,42,3.123429353539118,21984.75989044712,148.2725864428321,4.070772827999917,0.0008073040000908,7.039199999780976e-05,4.071656006000012
Bike Sharing,ridge,mi,0.75,8,42,3.14089670828156,21973.36587298036,148.2341589276249,4.070772827999917,0.0009958800001186,7.718599999861908e-05,4.071852305999755
Bike Sharing,ridge,mi,1.0,8,42,3.1445329524345245,21946.13717938997,148.14228693857123,0.0,0.001019776000021,8.015100002012332e-05,0.0011043650001738
Bike Sharing,ridge,rfe,0.25,8,42,3.2303994732331223,24005.668758708005,154.93762860812092,0.1265518220000103,0.0008358479999515,7.438100010404014e-05,0.1274720989999878
Bike Sharing,ridge,rfe,0.5,8,42,3.1234293535391178,21984.75989044712,148.2725864428321,0.1265518220000103,0.0007890599999882,6.991199984440755e-05,0.127415682999981
Bike Sharing,ridge,rfe,0.75,8,42,3.134342513001056,21965.258915323546,148.20681129868336,0.1265518220000103,0.0010402239997802,7.710599993515643e-05,0.1276795609999226
Bike Sharing,ridge,rfe,1.0,8,42,3.1445329524345245,21946.13717938997,148.14228693857123,0.0,0.001019776000021,8.015100002012332e-05,0.0011043650001738
Bike Sharing,ridge,tree,0.25,8,42,2.9445232553706178,25929.38714595274,161.02604493047932,4.360982332000049,0.0041006110000125,0.0001088159999653,4.365203170000086
Bike Sharing,ridge,tree,0.5,8,42,3.116142296600358,22282.775198737512,149.27416118919413,4.360982332000049,0.0010700899999847,7.49020000512246e-05,4.362142922999965
Bike Sharing,ridge,tree,0.75,8,42,3.1499537432809275,21997.93854394096,148.31702041215956,4.360982332000049,0.0010124709999672,8.153399994625943e-05,4.362081967999984
Bike Sharing,ridge,tree,1.0,8,42,3.1445329524345245,21946.13717938997,148.14228693857123,0.0,0.001019776000021,8.015100002012332e-05,0.0011043650001738
Bike Sharing,ridge,shap,0.25,8,42,3.2303994732331223,24005.668758708005,154.93762860812092,0.0209809269999823,0.0008639710001716,7.078399994497886e-05,0.0219264110000949
Bike Sharing,ridge,shap,0.5,8,42,3.112114547072518,22028.414001823505,148.41972241526227,0.0209809269999823,0.0007460889999038,6.588399992324412e-05,0.0217971379997834
Bike Sharing,ridge,shap,0.75,8,42,3.1142591877578654,22003.99864671874,148.33744856481366,0.0209809269999823,0.0011776940000345,8.574200001021381e-05,0.0222555039999861
Bike Sharing,ridge,shap,1.0,8,42,3.1445329524345245,21946.13717938997,148.14228693857123,0.0,0.001019776000021,8.015100002012332e-05,0.0011043650001738
Bike Sharing,ridge,mi,0.25,9,42,2.974118687947834,24537.366905313247,156.64407714724885,3.3172140599999693,0.0008784789999936,7.605399991916784e-05,3.3181795829998464
Bike Sharing,ridge,mi,0.5,9,42,3.3120042986056903,22250.343171446795,149.16548921063074,3.3172140599999693,0.0010014409999712,8.926900000005844e-05,3.318315639000048
Bike Sharing,ridge,mi,0.75,9,42,3.320852688411842,22222.565411115556,149.0723495860837,3.3172140599999693,0.005227117000004,9.148300000560994e-05,3.3225446630001443
Bike Sharing,ridge,mi,1.0,9,42,3.3516490050914483,22156.012812498426,148.84895972931227,0.0,0.0094213360000594,0.0001634289999401,0.009592067000085
Bike Sharing,ridge,rfe,0.25,9,42,3.382117155773724,24228.295698268208,155.6544111108587,0.153232054,0.000948659999949,8.605199991507106e-05,0.1542788699998709
Bike Sharing,ridge,rfe,0.5,9,42,3.372764962515377,22194.683068291037,148.97880073450395,0.153232054,0.0131046679998689,0.0001433810000435,0.1664865949999239
Bike Sharing,ridge,rfe,0.75,9,42,3.360824309447422,22165.149527674293,148.87964779537293,0.153232054,0.0010464660001616,7.621400004609313e-05,0.1543626089999179
Bike Sharing,ridge,rfe,1.0,9,42,3.3516490050914483,22156.012812498426,148.84895972931227,0.0,0.0094213360000594,0.0001634289999401,0.009592067000085
Bike Sharing,ridge,tree,0.25,9,42,3.204645411660291,26200.01228007731,161.8641784956675,4.787091041999929,0.0010022320000189,8.37580000734306e-05,4.788190708000002
Bike Sharing,ridge,tree,0.5,9,42,3.3645405686103884,22530.67844358574,150.10222664432976,4.787091041999929,0.00711262599998,9.03400000424881e-05,4.794299489999958
