dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate Claims Severity,extratrees,mi,0.25,2,123,0.8174705182822924,4696810.84033588,2167.212689224544,1.3422480309964158,51.5419448929606,1.4413885929971002,54.79132466297597
Allstate Claims Severity,extratrees,mi,0.5,2,123,0.701239504709104,3997060.023310415,1999.2648707238409,1.3422480309964158,120.57206324796424,1.6188169249799105,124.04768489697015
Allstate Claims Severity,extratrees,mi,0.75,2,123,0.6903004352301012,3988648.6115965704,1967.7635819607467,0.6409832530787514,183.40956607202375,1.6548122169613377,185.70536154206386
Allstate Claims Severity,extratrees,mi,1.0,2,123,0.6893023410760345,4059835.841740396,2014.903432361064,0.0,250.46844279102515,1.6147305259946734,252.5773379090242
Allstate Claims Severity,extratrees,mi,0.25,3,123,0.71775729787129,4735139.27760525,2176.03751750866,1.170485909038689,45.36486349400366,0.8317909659817815,47.77430843608454
Allstate Claims Severity,extratrees,mi,0.5,3,123,0.6534632781013877,4085465.011425877,2021.253326880596,1.170485909038689,111.29609920299843,1.182103970029857,114.02955661906162
Allstate Claims Severity,extratrees,mi,0.75,3,123,0.6279174322227803,3728795.403601248,1944.940052151105,0.5768706959362433,195.97707435582416,1.033788079650444,197.58773313141083
Allstate Claims Severity,extratrees,mi,1.0,3,123,0.6258708407028535,3734609.285449241,1932.513721930388,0.0,262.1356291410048,0.9258885139715858,263.53569247497944
Allstate Claims Severity,extratrees,mi,0.25,4,123,0.7021261335240285,4896169.564509881,2212.72898577975,1.0722589239594529,47.78377550002188,1.4522913179825991,50.878830963920336
Allstate Claims Severity,extratrees,mi,0.5,4,123,0.6761369562177116,4645503.853518812,2155.343094154342,1.0722589239594529,124.2546741879778,0.8768818550161086,126.68257898197044
Allstate Claims Severity,extratrees,mi,0.75,4,123,0.6601650133070038,4753517.374219891,2178.5315419579492,0.5049363574541188,193.33695065130695,1.0931415542471052,194.93502856300816
Allstate Claims Severity,extratrees,mi,1.0,4,123,0.6679953130592575,4521916.061222567,2126.479734496091,0.0,259.6051083430066,1.223513349017594,261.2416896079667
Allstate Claims Severity,extratrees,mi,0.25,5,123,0.7049926889026688,5043610.361328592,2245.798379491933,1.236572302004788,43.375567089999095,1.3825481789535845,46.4995354010025
Allstate Claims Severity,extratrees,mi,0.5,5,123,0.6535597857985997,4209668.542278851,2051.747679974039,1.236572302004788,109.75036751799053,1.6739052660414018,113.17450727202232
Allstate Claims Severity,extratrees,mi,0.75,5,123,0.6349581524091428,4111315.1601251084,2011.103511689782,0.5747154662535494,194.05234489056198,1.705868231780556,196.33292858859608
Allstate Claims Severity,extratrees,mi,1.0,5,123,0.6358439701996024,3797625.80417425,1948.749805432768,0.0,262.1056828859728,1.8251932249986569,264.3154080819804
Allstate Claims Severity,extratrees,mi,0.25,1,256,0.6990056103728867,4815250.368502708,2194.3678744692534,1.3291823309846222,49.07475361897377,1.5045951859792694,52.466792529972736
Allstate Claims Severity,extratrees,mi,0.5,1,256,0.6484617237665542,4456794.455734621,2111.112137176664,1.3291823309846222,128.3039982559858,1.6933878269628622,131.8317546469625
Allstate Claims Severity,extratrees,mi,0.75,1,256,0.6351703502909547,4517287.853202482,2180.9827734990627,0.6686785299454922,184.79614515327913,1.6610563188332115,187.1258800020578
Allstate Claims Severity,extratrees,mi,1.0,1,256,0.6368092087446691,4427101.37130174,2104.06781528109,0.0,251.4319924559677,1.660573354980443,253.66521148296303
Allstate Claims Severity,extratrees,mi,0.25,2,256,0.6854336497842157,4906652.766766324,2215.0965592421303,1.0736286889878102,44.95472681598039,1.4146029719850048,47.92595262598479
Allstate Claims Severity,extratrees,mi,0.5,2,256,0.640616780555792,3973708.430949973,1993.4162713668145,1.0736286889878102,116.0592692309874,1.6594293109956195,119.2454480729648
Allstate Claims Severity,extratrees,mi,0.75,2,256,0.6070664412881144,3844645.077232437,2011.024088817975,0.4782906723209481,187.74293583159152,1.5999401311463133,189.8211666350588
Allstate Claims Severity,extratrees,mi,1.0,2,256,0.6265396008247867,3832466.289997432,1957.6685853324184,0.0,261.2535756060388,1.5374510500114411,263.17322073399555
Allstate Claims Severity,extratrees,mi,0.25,3,256,0.7421452498243559,5894322.539712572,2427.822592306236,1.02479872998083,38.52679093898041,1.548819829011336,41.5164021049859
Allstate Claims Severity,extratrees,mi,0.5,3,256,0.6888916220458867,4210894.636960738,2052.046450975401,1.02479872998083,119.03598738601433,1.6349993780022487,122.38093962299172
Allstate Claims Severity,extratrees,mi,0.75,3,256,0.665502454991816,3941865.894199436,2082.077079652864,0.5218274518802938,193.3419802999567,1.8157423956976666,195.67955014753466
Allstate Claims Severity,extratrees,mi,1.0,3,256,0.6584421476130604,4013674.612200349,2003.415736236578,0.0,258.52419114502845,1.94600234401878,261.153153429972
Allstate Claims Severity,extratrees,mi,0.25,4,256,0.7453749114991493,3930763.1810551216,1982.61523777437,1.128283065976575,50.32598785200389,1.5289591790060513,53.51338315795874
Allstate Claims Severity,extratrees,mi,0.5,4,256,0.7179075856728729,3768890.303679709,1941.363001522309,1.128283065976575,119.31093491695356,1.8580452949972823,122.86345282901311
Allstate Claims Severity,extratrees,mi,0.75,4,256,0.7049191687459327,3797216.365125741,1929.7268879306832,0.5741045731175843,183.97353446457046,1.7236732120296454,186.27131224971768
Allstate Claims Severity,extratrees,mi,1.0,4,256,0.7098743471830282,3726259.534697247,1930.352178929339,0.0,256.8518725760514,1.579828815010842,258.93311246298254
Allstate Claims Severity,extratrees,mi,0.25,5,256,0.6895339092400297,4098406.6448091217,2024.4521838781773,1.188360345957335,54.56170047598425,1.526412439008709,57.77429688296979
Allstate Claims Severity,extratrees,mi,0.5,5,256,0.650430384439178,3880444.373945977,1969.8843554752084,1.188360345957335,124.393311169988,1.8552848569815976,127.9958177859662
Allstate Claims Severity,extratrees,mi,0.75,5,256,0.6389625962764931,3968639.7366622267,1927.4953609820586,0.6554297412275146,176.339008695034,1.5889616781569813,178.5834001144185
Allstate Claims Severity,extratrees,mi,1.0,5,256,0.6361906163801759,3791961.0666383207,1947.295834391457,0.0,254.7462228439981,1.6241664389963262,256.9376164720161
Allstate Claims Severity,extratrees,rfe,0.25,1,42,0.6616290425151332,4078379.090223398,2019.499712855488,0.3070398039999418,50.28945418901276,0.7052430880139582,51.782879885984585
Allstate Claims Severity,extratrees,rfe,0.5,1,42,0.6457801970077542,3958012.782501311,1989.4755043732785,0.3070398039999418,118.87378065101802,1.141165864013601,120.72563939203974
Allstate Claims Severity,extratrees,rfe,0.75,1,42,0.6416208309886849,3718995.514273983,1974.5024905998268,0.14705195656762843,192.25187330327333,1.4238041352570079,193.82272939509795
Allstate Claims Severity,extratrees,rfe,1.0,1,42,0.6317464712542531,3814725.475275242,1953.132221657111,0.0,269.13239788095234,1.6819440990220755,271.4168093079934
Allstate Claims Severity,extratrees,rfe,0.25,2,42,0.7520931532801707,4398817.576309531,2097.335828213863,0.2304201010265387,50.55783074500505,0.7667567370226607,52.07560198602732
Allstate Claims Severity,extratrees,rfe,0.5,2,42,0.7233605154592092,4212545.418729534,2052.4486397300016,0.2304201010265387,120.4712110090186,1.7610835389932618,122.90676058101236
Allstate Claims Severity,extratrees,rfe,0.75,2,42,0.7194090882581635,4255577.444993936,2039.6059647344691,0.1161391665533117,194.64967245428213,1.6250800602050326,196.39089168104047
Allstate Claims Severity,extratrees,rfe,1.0,2,42,0.7218088533070783,4129812.529167324,2032.1940185836893,0.0,259.09477056900505,1.505400836991612,260.9757315599709
Allstate Claims Severity,extratrees,rfe,0.25,3,42,0.6783017385420365,4351471.03250151,2086.0179847023155,0.2544515709741972,45.71388999698684,1.4445725489640608,47.88588019501185
Allstate Claims Severity,extratrees,rfe,0.5,3,42,0.6558946097153079,4045723.655138468,2011.398432717513,0.2544515709741972,113.14165748399682,1.6245415119919926,115.7560307389358
Allstate Claims Severity,extratrees,rfe,0.75,3,42,0.6507930636419167,3934435.4720271984,2024.1992606740016,0.13278242720919323,190.60918179516895,1.5200126868075376,192.2619769091857
Allstate Claims Severity,extratrees,rfe,1.0,3,42,0.6463493585961525,3903072.7877689935,1975.6195959164288,0.0,259.47712551103905,1.5018872289801948,261.36760632600635
Allstate Claims Severity,extratrees,rfe,0.25,4,42,0.6923902173991688,4604562.27012168,2145.8243800743994,0.2699185450328514,48.36558220000006,0.7260376840131357,49.88752940803533
Allstate Claims Severity,extratrees,rfe,0.5,4,42,0.6469131440107887,4142845.077886868,2035.3980146120973,0.2699185450328514,114.4018913890468,1.7754660850041546,116.9023966550012
Allstate Claims Severity,extratrees,rfe,0.75,4,42,0.6231302411124131,4278484.117891285,2014.8588922623883,0.13488394546024768,184.05359255321602,1.7516939378312613,185.94017043650751
Allstate Claims Severity,extratrees,rfe,1.0,4,42,0.6375725666049408,4021674.645702218,2005.4113407733128,0.0,260.1657339219819,1.6266503630322404,262.1857546700048
Allstate Claims Severity,extratrees,rfe,0.25,5,42,0.6638441664237732,4333780.080692883,2081.773301945455,0.2534139830386266,48.99234872899251,0.7469990840181708,50.53062552103074
Allstate Claims Severity,extratrees,rfe,0.5,5,42,0.638339162562463,4091384.763877248,2022.7171734766205,0.2534139830386266,116.4748280000058,1.0119494600221517,118.26970381604042
Allstate Claims Severity,extratrees,rfe,0.75,5,42,0.6463812745832568,3937380.8823473006,1980.287858819558,0.11727574727610028,191.24727810301567,0.9920362838813829,192.35659013417316
Allstate Claims Severity,extratrees,rfe,1.0,5,42,0.6330759745181875,3976469.947160397,1994.108810260964,0.0,260.39291969896294,0.9302752819494344,261.7908310389612
Allstate Claims Severity,extratrees,rfe,0.25,1,123,0.7417676033381281,4759518.247514702,2181.632014688706,0.2573874149820767,49.48202053597197,1.3967511960072445,51.49468893499579
