dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,ridge,shap,0.75,3.4020913229788534,19937.17657446345,0.2290703685951484,3.3721702478520363,141.15747933592525,0.003740394694032102,0.0019519780424888619,0.0002565320197026777,0.005968546515796286
Bike Sharing,ridge,shap,1.0,3.40550660325369,19902.13657812896,0.2261534709964085,3.3692398285367866,141.0422259288615,0.0,0.001712704360252196,0.00023771954351100427,0.00196431566379029
Bike Sharing,ridge,tree,0.25,3.502174031544468,23991.828914628295,0.4283788780785915,3.3935049259951597,154.84795735640995,2.9638479796994943,0.0017225657030939601,0.00015820554108353892,2.9657501857564785
Bike Sharing,ridge,tree,0.5,3.3195562716803306,20578.1735963164,0.229801318730565,3.2912465991211546,143.41616289456883,2.754030649440829,0.001948082961607674,0.00014537037815894095,2.7561417173419613
Bike Sharing,ridge,tree,0.75,3.414344637367837,19946.414717309224,0.22952951247935138,3.386895268521573,141.19051517500193,2.9638479796994943,0.002077522800536774,0.00041989892139095863,2.9663625357591084
Bike Sharing,ridge,tree,1.0,3.40550660325369,19902.13657812896,0.2261534709964085,3.3692398285367866,141.0422259288615,0.0,0.001712704360252196,0.00023771954351100427,0.00196431566379029
Bike Sharing,xgboost,mi,0.25,1.014823385477066,11282.882265625,0.08497419443818066,1.0136036276817322,106.19635299682618,1.3802932911587413,3.3249785501055884,0.08312938107643271,4.788701956836739
Bike Sharing,xgboost,mi,0.5,0.9218186008930206,9631.888820482336,0.08440451427752842,0.917388379573822,98.21517974853515,1.323434359638486,3.237821444440633,0.07777360319741997,4.639569219376426
Bike Sharing,xgboost,mi,0.75,0.49936328768730165,3082.9668701171877,0.1578283609689482,0.43637703359127045,53.67610511779785,1.3802932911587413,3.170816669901833,0.09856944283586921,4.649983384035295
Bike Sharing,xgboost,mi,1.0,0.39002306640148166,1804.7439893639605,0.02240485186387478,0.38824647665023804,42.565158462524415,0.0,3.1577380434202498,0.08193241815548385,3.240016865240177
Bike Sharing,xgboost,rfe,0.25,0.9091229724884033,8871.199052734375,0.0684708509586646,0.9093145728111267,94.14718643188476,0.05952605581260282,3.3958797093387694,0.08166944404016244,3.5373536147666162
Bike Sharing,xgboost,rfe,0.5,0.8272375035285949,7503.383481233016,0.06420796939848827,0.8250732421875,86.65570617675782,0.05635064999107267,3.4529562817222903,0.08087063539656805,3.590568997951923
Bike Sharing,xgboost,rfe,0.75,0.4371166068315506,2210.1636157226562,0.025007083112765418,0.4325156658887863,46.972777938842775,0.05952605581260282,3.4657570402824787,0.09363160036504263,3.619290295455139
