dataset,model,strategy,k_pct,fold,repeat_seed,rmse,mae,mape,mse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate,xgboost,custom_shap_rfe,0.5,2,42,1861.7047209845523,1178.390066883019,0.5868635215210697,3465944.46813617,9.768002200871706e-06,8.234167737013195,0.18684852399746887,8.421026029012864
Allstate,xgboost,native_fi,0.05,4,42,2161.9746352667917,1447.9024597282053,0.9822616000809722,4674134.323536976,1.7530110199004412e-06,7.928214924992062,0.04040574200917035,7.968622420012252
Allstate,xgboost,native_fi,0.1,4,42,2016.8171076809938,1339.9979429212908,0.9075214946281605,4067551.2458347296,1.402979250997305e-06,8.357394302991452,0.05737847401178442,8.414774179982487
Allstate,xgboost,native_fi,0.15,4,42,1928.9549484310614,1246.8283621135442,0.8047560162297699,3720867.193076679,1.4929973985999823e-06,8.126198632991873,0.09602254198398441,8.222222667973256
Allstate,xgboost,native_fi,0.25,4,42,1905.6376341982357,1214.735877119792,0.7526394817696327,3631454.7928726487,1.281994627788663e-06,8.43913471599808,0.15798262099269778,8.597118618985405
Allstate,xgboost,native_fi,0.5,4,42,1878.0112402534503,1194.586213904472,0.7229296286013664,3526926.2185183023,1.6030098777264357e-06,9.09987824401469,0.2990662819938734,9.39894612901844
Allstate,xgboost,baseline,1.0,4,42,1877.591327739552,1195.2169921548305,0.7248135534055861,3525349.1940027736,2.8249924071133137e-06,10.073330587998498,0.5919370519986842,10.66527046498959
Allstate,xgboost,custom_shap_rfe,0.05,3,42,2323.97696998098,1424.3202106213307,0.7257982765941845,5400868.957001976,3.443498280830681e-05,7.702360963012325,0.05030040899873711,7.75269580699387
Allstate,xgboost,custom_shap_rfe,0.1,3,42,2151.6306959582134,1330.747391430021,0.6756059156560081,4629514.651789626,1.1983007425442338e-05,8.055815171013819,0.07937303101061843,8.135200185031863
Allstate,xgboost,custom_shap_rfe,0.15,3,42,1990.4630951155575,1222.7357104759249,0.6226607433973447,3961943.3330170047,1.129100564867258e-05,8.494260089995805,0.09022262098733336,8.584494001988787
Allstate,xgboost,custom_shap_rfe,0.25,3,42,1978.196168114923,1216.7012984962432,0.615986054490407,3913260.0795445647,1.0310002835467458e-05,8.999017369991634,0.19085053401067853,9.189878214005148
Allstate,xgboost,custom_shap_rfe,0.5,3,42,1976.281911966023,1213.1743547743908,0.6157155315603202,3905690.1955640796,1.0599993402138352e-05,8.595744607999222,0.27011968300212175,8.865874890994746
Allstate,xgboost,native_fi,0.05,5,42,2111.163547846942,1430.2359710908563,0.8117416278358116,4457011.525757687,1.433014404028654e-06,8.149246194021543,0.03427405797992833,8.183521685015876
Allstate,xgboost,native_fi,0.1,5,42,1994.8316868416384,1326.0701923476017,0.7377513916951538,3979353.4588274565,1.4730030670762062e-06,8.057771206978941,0.06393904099240899,8.121711720974417
Allstate,xgboost,native_fi,0.15,5,42,1931.257696637788,1251.2441373336649,0.6624468786917755,3729756.290822695,1.2519885785877705e-06,8.167720256984467,0.09709702199324965,8.264818530966295
Allstate,xgboost,native_fi,0.25,5,42,1884.1190302419288,1211.3158564313633,0.6358359700760909,3549904.5201197867,1.2620002962648869e-06,8.629737759998534,0.161118552001426,8.790857574000256
Allstate,xgboost,native_fi,0.5,5,42,1859.5612704928565,1191.6446482894494,0.6175935172025212,3457968.118717007,1.7629936337471008e-06,9.367107677011518,0.30194499497883953,9.669054434983991
Allstate,xgboost,baseline,1.0,5,42,1866.0494089983306,1193.160075335377,0.6182383006657791,3482140.3968230193,2.895016223192215e-06,10.46341840797686,0.590555883012712,11.053977186005795
Allstate,xgboost,custom_shap_rfe,0.05,4,42,2198.967546748796,1403.044883791811,0.8566072881816851,4835458.271654419,2.1529995137825608e-05,8.365696894004941,0.03997688301024027,8.405695307010319
Allstate,xgboost,custom_shap_rfe,0.1,4,42,2028.7972783807725,1303.6521037604916,0.7927773937992343,4116018.3967652293,1.2163014616817236e-05,8.264110810996499,0.08407548200921156,8.348198456020327
Allstate,xgboost,custom_shap_rfe,0.15,4,42,1897.3122961951135,1208.943087077307,0.7380390072796162,3599793.949293174,1.0640011169016361e-05,8.19241526001133,0.1097654230252374,8.302191323047737
Allstate,xgboost,custom_shap_rfe,0.25,4,42,1888.8088774005957,1202.166186445134,0.7348500831864994,3567598.975347299,1.0279996786266565e-05,9.171888699987903,0.12576227699173614,9.297661256976426
