dataset,dataset_instance,k_pct,fold,repeat_seed,strategy_a,strategy_b,rmse_a,rmse_b,rmse_abs_diff,rmse_rel_diff,mae_abs_diff,jaccard,n_sym_diff,n_features_a,n_features_b
Allstate,Exp2B-Allstate,0.15,9,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1898.7051592527107,1899.3968435850236,0.6916843323128887,0.0003642926490941441,0.11037809268145793,1.0,0,20,20
Superconductor,Exp2A-Superconductor,0.05,7,123,native_fi,custom_shap_rfe,13.042141262928492,13.037261670364028,0.004879592564464019,0.00037414044719282175,0.0003444711105622389,1.0,0,4,4
Superconductor,Exp2A-Superconductor,0.15,5,123,native_fi,hybrid_fi_custom_shap_rfe,10.435901099306406,10.431914395107034,0.003986704199371971,0.0003820182044113983,0.03414209693485226,0.5,8,12,12
Allstate,Exp2B-Allstate,0.5,3,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1976.281911966023,1975.4973815903788,0.7845303756441808,0.00039697290699975237,0.29861708959492717,0.8333333333333334,12,66,66
Allstate,Exp2B-Allstate,0.5,3,256,native_fi,custom_shap_rfe,1833.2827861742464,1834.0176221774489,0.7348360032024175,0.0004008306894845704,0.2915316860614894,0.76,18,66,66
Allstate,Exp2B-Allstate,0.15,10,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1964.81109725507,1964.0010560067476,0.8100412483224773,0.0004122743654360165,0.12917984670798432,1.0,0,20,20
Allstate,Exp2B-Allstate,0.25,10,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1891.680623138675,1890.882768413258,0.7978547254169825,0.00042177031136111264,12.844773804767328,0.8333333333333334,6,33,33
Allstate,Exp2B-Allstate,0.5,1,42,native_fi,hybrid_fi_custom_shap_rfe,1901.975747979879,1901.1698148327905,0.8059331470885809,0.0004237347126768447,1.6732992641864257,0.7368421052631579,20,66,66
Allstate,Exp2B-Allstate,0.15,3,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1891.5082830541344,1892.313800171578,0.8055171174435145,0.0004258596828044981,0.034814884571460425,1.0,0,20,20
Superconductor,Exp2A-Superconductor,0.25,7,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,10.378812729673278,10.37437419822384,0.004438531449437733,0.00042765310108620257,0.05233245332131098,0.7391304347826086,6,20,20
Allstate,Exp2B-Allstate,0.5,9,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1872.39858566944,1871.597393278401,0.8011923910391943,0.00042789628082994056,1.0346072298398212,0.8591549295774648,10,66,66
Allstate,Exp2B-Allstate,0.25,5,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1946.5830696790688,1947.418648764412,0.8355790853431699,0.00042925426526027014,11.276728282529803,0.8857142857142857,4,33,33
Allstate,Exp2B-Allstate,0.25,7,42,native_fi,hybrid_fi_custom_shap_rfe,2007.9033660625275,2006.9970183836645,0.9063476788630851,0.00045139008887684726,1.7423455442362865,0.7368421052631579,10,33,33
Allstate,Exp2B-Allstate,0.15,1,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,2132.74580200375,2131.776072127283,0.9697298764672269,0.0004546861025613786,0.10268881124466134,1.0,0,20,20
Allstate,Exp2B-Allstate,0.15,9,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1904.6228675020996,1903.7355878091048,0.8872796929947526,0.00046585584376523535,0.18452082576141038,1.0,0,20,20
Allstate,Exp2B-Allstate,0.25,2,123,native_fi,hybrid_fi_custom_shap_rfe,1887.9810180204208,1888.8885252347009,0.9075072142800309,0.0004806760267280479,0.5185856217456148,0.6923076923076923,12,33,33
Allstate,Exp2B-Allstate,0.5,8,42,native_fi,hybrid_fi_custom_shap_rfe,1883.6967545414404,1882.7527090392557,0.9440455021847356,0.0005011663899238125,0.040631017433270245,0.76,18,66,66
Superconductor,Exp2A-Superconductor,0.1,7,42,native_fi,hybrid_fi_custom_shap_rfe,11.297413963930929,11.291627311678845,0.005786652252083968,0.0005122103403981584,0.02949368644563588,0.6,4,8,8
Superconductor,Exp2A-Superconductor,0.05,9,256,native_fi,custom_shap_rfe,13.221840807963249,13.228615129501772,0.006774321538523864,0.0005123584254957772,0.011528730706460877,1.0,0,4,4
Allstate,Exp2B-Allstate,0.5,5,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1865.7752970570475,1864.80423957996,0.97105747708747,0.0005204578914830488,0.5109251607345868,0.8591549295774648,10,66,66
Superconductor,Exp2A-Superconductor,0.1,10,123,native_fi,hybrid_fi_custom_shap_rfe,11.509563729811108,11.503564041188422,0.005999688622685184,0.0005212785439595155,0.016046817919496803,0.6,4,8,8
Allstate,Exp2B-Allstate,0.05,10,999,native_fi,hybrid_fi_custom_shap_rfe,2147.586429490042,2146.464036354515,1.1223931355270906,0.0005226300185709452,63.27129064187466,0.16666666666666666,10,7,7
Superconductor,Exp2A-Superconductor,0.25,5,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,10.228800570257304,10.23416262359277,0.0053620533354656885,0.0005242113480105524,0.04040632549009615,0.6666666666666666,8,20,20
Allstate,Exp2B-Allstate,0.15,9,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1876.1540299147323,1877.1460699563104,0.9920400415780932,0.0005287625779974897,0.14791176985204402,1.0,0,20,20
