dataset_instance,k_pct,strategy,rmse,mae,mape,selection_time_s,train_time_s,predict_time_s,total_time_s
Exp2B-Allstate,0.05,hybrid_fi_custom_shap_rfe,2224.6319761213226,1391.7987369957948,0.7389448722573866,123.44515397363925,6.20736308642081,0.03532004184264219,129.6878371019027
Exp2B-Allstate,0.05,native_fi,2198.792671238839,1435.9877391103175,0.8102592550752586,1.5403400175273419e-06,7.823661598100443,0.03969138825952537,7.863354526699986
Exp2B-Allstate,0.1,custom_shap_rfe,2088.8803003133307,1308.9146744527943,0.6756824444672124,1.1934142676182092e-05,7.87140946754138,0.0706640733609674,7.942085475045023
Exp2B-Allstate,0.1,hybrid_fi_custom_shap_rfe,2016.117238223716,1292.588672893576,0.6935140161964827,127.41236647515966,7.650109966017771,0.061109336617519106,135.12358577779494
Exp2B-Allstate,0.1,native_fi,2062.393057602736,1338.7326021058352,0.7443423291528678,1.3479782501235604e-06,7.897487696696771,0.061151542980805926,7.958640587655827
Exp2B-Allstate,0.15,custom_shap_rfe,1932.7930305340321,1211.5703160664325,0.6233835461588789,1.115076069254428e-05,8.203720893318533,0.09775623750116207,8.301488281580387
Exp2B-Allstate,0.15,hybrid_fi_custom_shap_rfe,1932.2350227646818,1211.5596529604989,0.6234145038369813,120.22461652830185,7.6006082477438035,0.09128612830012567,127.91651090434578
Exp2B-Allstate,0.15,native_fi,1978.0779944720123,1257.6818947779072,0.6676845917878321,1.4891201863065362e-06,8.016068282381747,0.08645196781610133,8.102521739318036
Exp2B-Allstate,0.25,custom_shap_rfe,1925.7040847046994,1202.3397501965333,0.6165787231852335,1.1527242604643106e-05,8.342541724258917,0.15769457355840127,8.500247825059922
Exp2B-Allstate,0.25,hybrid_fi_custom_shap_rfe,1932.2617604297632,1211.8871304960778,0.6274860862177463,144.6128977629397,7.502441560178413,0.13139468332170506,152.2467340064398
Exp2B-Allstate,0.25,native_fi,1929.3833314512337,1213.1650930949863,0.629947900203197,1.4827813720330597e-06,8.15840140671702,0.14693133382126686,8.30533422331966
Exp2B-Allstate,0.5,custom_shap_rfe,1913.026792760443,1195.8559927262359,0.6128382644577374,1.0415082215331495e-05,9.026381448680768,0.28388984009856355,9.310281703861547
Exp2B-Allstate,0.5,hybrid_fi_custom_shap_rfe,1913.7163246962425,1195.7562336836752,0.6125293879914107,171.5494928588014,8.6030042828765,0.2630244649789529,180.41552160665685
Exp2B-Allstate,0.5,native_fi,1912.917696522928,1195.6842581844048,0.6125604626927089,2.02667957637459e-06,8.67915135214338,0.2532408012601081,8.932394180083065
Exp2B-Allstate,1.0,baseline,1913.1240324669293,1195.690562954014,0.6125880440672894,2.790218568406999e-06,9.451194319120258,0.48675947631942107,9.937956585658249
